,pos,name,date,time,map
23379,22,ace,19/05/14,260.991,edge_easy
20375,19,ace,25/05/14,10.623,decinojump17
20919,19,ace,10/5/2014,14.032,popsjmp18a
151164,14,ace,30/03/17,10.39,pprace
14173,13,ace,13/07/14,11.961,apocalypse28
14669,13,ace,2/8/2015,4.733,h4ppyjump5
14821,13,ace,10/10/2014,16.643,jumpclimb2
141032,13,ace,4/12/2015,29.399,neox3
141163,13,ace,18/12/16,16.801,playjump1
141171,13,ace,14/04/15,37.724,popsjmp10
141259,13,ace,11/3/2017,16.365,ramps
141374,13,ace,11/10/2014,21.391,slipmap14a
141413,13,ace,14/11/14,13.07,smaug8
141477,13,ace,18/10/14,7.515,spyzjump3
133,12,ace,9/2/2015,92.748,1337
1338,12,ace,31/01/16,5.952,ac1_race1
1353,12,ace,4/11/2015,24.962,adrenjumps10
1357,12,ace,28/02/16,24.054,adrenjumps14
1369,12,ace,6/2/2015,13.359,adrenjumps28
13109,12,ace,9/2/2016,19.53,aljump11
13175,12,ace,4/6/2014,44.946,apocalypse18
13260,12,ace,28/02/15,13.725,as12
13603,12,ace,21/01/15,24.208,finn1
13764,12,ace,20/03/16,6.936,hilly
13805,12,ace,10/2/2015,6.545,jbtujump8
13821,12,ace,30/11/15,2.233,jjump5
13857,12,ace,15/10/14,7.014,jumpeasy2
13886,12,ace,19/01/16,16.541,jumpish28
13916,12,ace,15/01/15,29.475,jumptest2
131017,12,ace,11/4/2016,6.419,mazemania
131026,12,ace,14/02/14,7.488,mf_jump3b
131079,12,ace,14/06/15,4.442,nephi3
131214,12,ace,9/5/2014,21.695,popsjmp16
131348,12,ace,18/09/14,20.761,rvnxdm7
131355,12,ace,9/6/2015,5.843,secondz7
131371,12,ace,27/06/15,42.175,shais_jump3
131443,12,ace,11/12/2014,23.567,slipmap37
131445,12,ace,9/2/2015,24.632,slipmap39
131637,12,ace,24/04/17,22.485,thewill32
131643,12,ace,25/11/15,4.545,thewill39
131731,12,ace,5/5/2015,17.616,weedsjump5
131755,12,ace,9/5/2014,60.13,xqadren
131782,12,ace,7/10/2014,54.964,xqjump29
131798,12,ace,4/1/2015,84.861,xqjump43
127,11,ace,6/5/2016,8.316,2_race_r3
1255,11,ace,6/3/2015,92.023,adrenjumps12
1297,11,ace,2/3/2015,40.461,aj2
12106,11,ace,26/12/15,10.453,akumanoob3b
12120,11,ace,27/10/14,3.579,aljump21
12212,11,ace,18/02/16,11.25,ariejump25
12240,11,ace,3/9/2014,49.24,ariejump52
12242,11,ace,8/4/2016,54.095,ariejump54
12350,11,ace,11/6/2014,29.507,c1jumps1
12418,11,ace,15/11/14,67.697,chopper1
12466,11,ace,10/5/2014,136.764,ddjump10
12468,11,ace,19/04/15,58.644,ddjump12
