"","pos","name","date","time","map"
"2","1","prd","11/11/16","104.703","0wnt"
"210","1","prd","08/08/16","34.238","0wnz"
"211","1","n00k!e","15/04/14","39.171","0wnz3"
"212","1","Lofas","14/07/13","26.202","132tree"
"214","1","n00k!e","07/02/15","68.253","1337"
"215","1","ds.ads","18/11/12","52.933","1_race_r3"
"216","1","KroPP","16/05/14","27.047","1_splj_r3"
"217","1","Goblin","15/04/17","19.610","1jumpmap"
"219","1","prd","06/05/16","7.900","2_race_r3"
"220","1","n00k!e","16/06/14","27.826","2towers"
"225","1","prd","14/07/16","66.521","3013"
"227","1","Lofas","10/07/13","17.363","4c3jump1"
"229","1","Lofas","07/11/13","10.807","4c3jump2"
"230","1","Lofas","12/07/13","14.478","4c3jump3"
"239","1","Lofas","13/07/14","12.892","4c3jump4"
"240","1","Goblin","15/04/17","5.880","4mybros"
"250","1","KroPP","13/05/14","29.069","4race1"
"260","1","Lofas","30/01/16","33.316","4race2"
"270","1","n00k!e","22/04/15","18.649","4race3"
"280","1","n00k!e","28/05/14","50.814","4race4"
"289","1","n00k!e","25/05/14","40.650","4race5"
"290","1","KroPP","25/05/14","56.740","4race6"
"2100","1","n00k!e","27/05/14","46.541","4race7"
"2101","1","Castro","16/07/15","38.264","4race8"
"2102","1","n00k!e","16/11/14","31.179","4race9"
"2103","1","Lofas","02/12/14","10.361","5secmap"
"2104","1","KroPP","31/01/16","33.621","9000"
"2105","1","n00k!e","26/11/14","66.207","9000_2"
"2106","1","Lofas","19/02/13","25.988","_fmj_a"
"2107","1","KroPP","08/03/14","32.055","_jumplava"
"2108","1","KroPP","07/05/14","16.231","_madjumping10"
"2109","1","n00k!e","02/12/15","33.258","a2-01"
"2128","1","prd","09/08/16","27.795","a2-02-moonrace_1"
"2130","1","prd","28/03/17","14.073","a2-03"
"2132","1","n00k!e","12/11/15","23.573","a2-04"
"2134","1","n00k!e","20/12/15","11.652","a2-05"
"2136","1","n00k!e","20/12/15","32.275","a2-06"
"2137","1","Lofas","13/12/12","80.581","ac1_jump1"
"2138","1","Castro","11/09/14","50.936","ac1_jump2"
"2139","1","prd","31/01/16","10.576","ac1_jump3"
"2141","1","prd","31/01/16","15.113","ac1_jump4"
"2143","1","UniBG","09/03/14","10.734","ac1_jump5"
"2145","1","{G}oo{F}","26/10/15","5.629","ac1_race1"
"2147","1","KroPP","18/09/15","34.813","acejumps01"
"2148","1","Lofas","03/08/15","11.506","acejumps02"
"2150","1","KroPP","16/01/15","99.733","acejumps03"
"2151","1","n00k!e","24/10/14","11.808","acejumps04"
"2152","1","n00k!e","09/11/14","25.182","acejumps05"
"2153","1","ace","18/10/15","32.181","acejumps06"
"2155","1","n00k!e","01/11/15","71.898","acejumps07"
"2156","1","n00k!e","09/09/15","12.284","acejumps08"
"2158","1","Killa","30/04/15","17.010","acejumps09"
"2160","1","prd","08/10/15","24.755","acejumps10"
"2162","1","yogurt","12/05/17","182.123","acejumps11"
"2163","1","prd","29/11/15","29.613","acejumps12a"
"2165","1","prd","08/08/16","22.913","acejumps13"
"2166","1","Lofas","24/06/15","12.355","acejumps15"
"2168","1","prd","07/11/15","39.601","acejumps16"
"2170","1","Lofas","29/04/14","9.558","action"
"2172","1","Goblin","08/03/16","8.398","action_big"
"2174","1","ds.ads","06/03/14","22.548","adminjumps"
"2175","1","Lofas","18/04/15","21.980","admintryouts"
"2176","1","prd","02/05/15","17.521","adrace1"
"2178","1","KroPP","26/06/14","18.519","adrenjump2"
"2179","1","KroPP","01/07/14","52.061","adrenjumps1"
"2180","1","n00k!e","18/10/15","23.064","adrenjumps10"
"2182","1","Lofas","18/11/15","38.473","adrenjumps11"
"2184","1","Killa","25/09/12","48.533","adrenjumps12"
"2185","1","Lofas","22/08/15","26.757","adrenjumps13"
"2187","1","n00k!e","28/10/15","23.366","adrenjumps14"
"2189","1","Stoner","29/09/12","36.823","adrenjumps15a"
"2190","1","KroPP","07/10/12","72.557","adrenjumps16"
"2191","1","Lofas","16/02/15","43.593","adrenjumps17"
"2193","1","ds.ads","18/01/14","33.786","adrenjumps18_fixed"
"2194","1","Killa","09/03/16","29.342","adrenjumps19"
"2196","1","ds.ads","11/11/12","25.751","adrenjumps20"
"2198","1","KroPP","14/09/15","25.640","adrenjumps21"
"2200","1","KroPP","15/11/12","25.837","adrenjumps22"
"2201","1","APKIS","08/05/15","36.874","adrenjumps23"
"2202","1","KroPP","22/12/15","23.265","adrenjumps24"
"2203","1","Lofas","18/11/15","15.335","adrenjumps25"
"2204","1","ds.ads","16/12/15","26.688","adrenjumps26"
"2205","1","n00k!e","24/04/14","26.520","adrenjumps27"
"2206","1","santher","26/04/14","12.783","adrenjumps28"
"2207","1","prd","13/11/15","13.762","adrenjumps29"
"2208","1","KroPP","25/06/14","29.241","adrenjumps3"
"2209","1","prd","17/01/16","5.154","adrenjumps30"
"2257","1","KroPP","16/11/14","21.689","adrenjumps31"
"2258","1","KroPP","30/11/14","26.219","adrenjumps32"
"2260","1","KroPP","22/02/15","65.974","adrenjumps33"
"2261","1","APKIS","23/02/15","27.441","adrenjumps34"
"2263","1","Castro","28/02/15","17.369","adrenjumps35"
"2264","1","KroPP","13/06/15","18.820","adrenjumps36"
"2266","1","KroPP","10/10/15","15.030","adrenjumps37"
"2268","1","KroPP","24/03/15","23.786","adrenjumps38"
"2270","1","Killa","28/03/15","17.965","adrenjumps39"
"2272","1","KroPP","17/11/12","24.454","adrenjumps4"
"2273","1","prd","06/11/16","22.669","adrenjumps40"
"2275","1","Lofas","13/04/15","16.389","adrenjumps41"
"2277","1","Killa","16/04/15","24.014","adrenjumps42"
"2279","1","prd","17/05/17","25.538","adrenjumps43"
"2280","1","n00k!e","09/11/15","26.814","adrenjumps44"
"2282","1","prd","19/07/16","20.888","adrenjumps45"
"2284","1","KroPP","06/05/15","29.434","adrenjumps46"
"2286","1","Lofas","09/05/15","19.174","adrenjumps47"
"2288","1","Lofas","11/05/15","18.356","adrenjumps48"
"2290","1","n00k!e","20/09/15","18.426","adrenjumps5"
"2291","1","n00k!e","28/08/14","21.084","adrenjumps6"
"2293","1","n00k!e","21/07/13","19.340","adrenjumps7"
"2295","1","Lofas","15/10/15","36.622","adrenjumps8_fixed"
"2297","1","Lofas","04/06/14","18.859","adrenjumps9"
"2299","1","KroPP","16/12/12","66.791","adrqj1"
"2300","1","Killa","11/09/12","49.957","adrqj2"
"2301","1","KroPP","08/01/15","9.813","adrqj3"
"2302","1","APKIS","06/01/15","124.188","aj1"
"2303","1","n00k!e","20/09/15","35.706","aj2"
"2304","1","prd","04/01/17","21.758","aj3l"
"2305","1","prd","19/10/15","3.569","ajm"
"2306","1","Stoner","24/12/15","8.336","ajumpb"
"2307","1","ds.ads","29/01/14","24.198","akumamap1"
"2308","1","Lofas","27/05/14","19.291","akumamap2a"
"2309","1","prd","30/08/15","20.481","akumamap3"
"2377","1","KroPP","18/05/14","17.683","akumanoob1"
"2379","1","Killa","23/12/15","16.193","akumanoob2a"
"2381","1","GreenJumper","22/06/14","10.002","akumanoob3b"
"2383","1","n00k!e","16/05/13","15.152","akumanoob4"
"2385","1","Lofas","23/07/15","9.266","aljump1"
"2386","1","KroPP","15/11/14","34.432","aljump10"
"2387","1","mule_0wnz","09/02/16","15.535","aljump11"
"2389","1","KroPP","01/03/16","34.908","aljump12"
"2391","1","APKIS","24/09/15","19.824","aljump14"
"2392","1","Castro","05/02/14","27.437","aljump15"
"2394","1","Skyline","04/08/13","22.241","aljump16"
"2396","1","n00k!e","20/05/14","15.062","aljump17"
"2398","1","Stoner","18/09/12","12.799","aljump18"
"2400","1","n00k!e","28/10/15","4.869","aljump19"
"2401","1","APKIS","09/06/15","15.078","aljump2"
"2402","1","Lofas","31/05/13","9.280","aljump20"
"2403","1","a2ha","12/06/15","3.204","aljump21"
"2404","1","prd","04/07/15","2.411","aljump22"
"2405","1","prd","17/11/14","15.722","aljump23"
"2406","1","ds.ads","03/11/12","9.886","aljump24"
"2407","1","APKIS","26/06/15","13.504","aljump25"
"2408","1","prd","02/11/16","6.181","aljump26"
"2409","1","n00k!e","25/02/14","8.972","aljump27"
"2491","1","n00k!e","31/10/13","23.286","aljump28"
"2492","1","KroPP","30/08/15","14.927","aljump29"
"2493","1","Lofas","29/05/14","19.300","aljump3"
"2495","1","Lofas","12/05/13","28.267","aljump30"
"2496","1","prd","25/08/15","12.679","aljump32"
"2497","1","ace","07/03/15","3.241","aljump4"
"2499","1","Lofas","16/07/14","6.711","aljump5"
"2500","1","Goblin","23/02/16","17.075","aljump7"
"2501","1","prd","13/06/16","13.324","aljump8"
"2502","1","APKIS","21/01/16","67.779","aljumpjj"
"2503","1","ds.ads","08/03/14","30.421","aljumpjjstrafe"
"2504","1","prd","11/01/16","3.293","aljumpnewb"
"2505","1","ds.ads","06/10/12","10.620","aljumpnoob3"
"2506","1","santher","18/04/12","16.737","alrocket1"
"2507","1","KroPP","21/09/13","25.803","alt1"
"2508","1","KroPP","30/05/14","101.146","alt10b"
"2509","1","KroPP","20/07/13","114.853","alt11"
"2595","1","KroPP","23/02/14","61.290","alt12"
"2596","1","APKIS","25/10/15","40.379","alt13"
"2597","1","Lofas","07/03/14","945.493","alt14"
"2598","1","KroPP","30/05/14","64.635","alt15a"
"2599","1","KroPP","30/05/14","81.431","alt16"
"2600","1","KroPP","29/05/14","125.050","alt17"
"2601","1","n00k!e","09/03/14","196.905","alt18"
"2602","1","ace","12/02/17","33.019","alt19"
"2603","1","cr33pz","27/01/16","12.509","alt19_5"
"2604","1","santher","18/04/12","15.436","alt2"
"2605","1","KroPP","06/07/15","63.220","alt20"
"2606","1","n00k!e","14/12/15","26.806","alt3"
"2607","1","APKIS","15/01/15","13.875","alt4"
"2608","1","KroPP","30/09/13","31.969","alt5"
"2609","1","KroPP","14/01/16","60.887","alt6"
"2691","1","n00k!e","04/02/14","20.870","alt7"
"2692","1","KroPP","30/12/12","26.321","alt8"
"2693","1","KroPP","22/07/13","25.680","alt9"
"2694","1","KroPP","02/11/14","16.741","amazing"
"2695","1","Lofas","30/12/13","16.976","ancientgouki"
"2697","1","ds.ads","29/01/14","33.347","ancientgouki2"
"2698","1","prd","11/09/16","13.630","ancientgouki3"
"2700","1","ace","21/06/15","34.092","ancientgouki4"
"2701","1","Lofas","21/02/13","24.543","ancientgouki5"
"2702","1","Cr4zy","14/06/13","16.356","ancientgouki5b"
"2703","1","prd","25/11/16","27.448","ancientgouki6"
"2704","1","ace","31/05/16","18.357","ancientgouki7"
"2705","1","KroPP","07/11/12","109.876","ancientgouki8"
"2706","1","mordo","28/10/16","244.038","ancientgoukimax"
"2707","1","ds.ads","01/05/15","16.557","anijump2"
"2708","1","KroPP","30/05/14","24.122","anime1"
"2709","1","KroPP","10/04/13","9.542","anime10"
"2791","1","Killa","08/05/14","15.184","anime11"
"2793","1","Killa","11/03/15","15.892","anime12"
"2794","1","(MCS)Faderjok","13/07/13","18.831","anime13"
"2795","1","n00k!e","13/09/15","21.497","anime14"
"2796","1","KroPP","31/05/14","114.844","anime15"
"2797","1","KroPP","23/11/14","42.855","anime16"
"2798","1","KroPP","26/08/15","20.544","anime2"
"2800","1","KroPP","28/05/14","32.051","anime3"
"2801","1","Lofas","24/02/13","53.515","anime4"
"2802","1","KroPP","06/06/14","42.575","anime5"
"2803","1","Killa","30/01/14","19.467","anime6"
"2804","1","ds.ads","10/11/15","21.934","anime7"
"2805","1","Killa","26/09/12","20.299","anime8"
"2806","1","Castro","10/08/14","41.300","anime9"
"2807","1","Castro","24/01/16","18.564","aodjump1"
"2808","1","cr33pz","23/04/14","10.716","aodjump2"
"2809","1","n00k!e","17/05/13","16.994","apkisjump1"
"2889","1","fish","06/11/13","27.230","apkisjump2"
"2890","1","KroPP","09/04/15","60.706","apkisjump3"
"2891","1","santher","26/08/12","25.444","apkisjump5"
"2893","1","KroPP","02/12/14","77.576","apocalypse"
"2894","1","n00k!e","20/04/14","31.738","apocalypse10"
"2895","1","KroPP","25/02/14","101.373","apocalypse11"
"2896","1","Lofas","15/02/14","5.875","apocalypse12"
"2897","1","santher","27/06/12","47.938","apocalypse13"
"2898","1","Lofas","03/04/14","24.564","apocalypse14"
"2899","1","Lofas","15/07/13","13.607","apocalypse15"
"2900","1","KroPP","15/10/13","61.361","apocalypse16"
"2901","1","EnZ","05/06/13","87.153","apocalypse17"
"2902","1","prd","05/11/14","40.185","apocalypse18"
"2903","1","Killa","14/09/12","41.387","apocalypse19"
"2904","1","KroPP","22/06/14","47.457","apocalypse20"
"2905","1","KroPP","05/07/13","47.796","apocalypse21"
"2906","1","Lofas","10/05/15","15.298","apocalypse22"
"2907","1","bakkemon666","13/03/16","70.916","apocalypse23"
"2908","1","KroPP","02/12/14","106.695","apocalypse24"
"2909","1","KroPP","03/12/14","252.564","apocalypse25"
"2984","1","KroPP","03/12/14","83.017","apocalypse26"
"2985","1","KroPP","03/12/14","233.582","apocalypse27"
"2986","1","KroPP","28/06/14","10.593","apocalypse28"
"2988","1","ds.ads","11/03/14","15.145","apocalypse28a"
"2989","1","KroPP","04/12/14","92.697","apocalypse29"
"2990","1","prd","17/03/16","24.377","apocalypse2b"
"2991","1","Lofas","16/10/13","25.703","apocalypse3"
"2993","1","KroPP","27/06/14","411.501","apocalypse30"
"2994","1","KroPP","07/07/14","17.423","apocalypse31"
"2995","1","KroPP","21/05/14","34.423","apocalypse32"
"2996","1","KroPP","22/03/16","25.254","apocalypse33"
"2997","1","santher","04/08/12","44.976","apocalypse34"
"2998","1","Lofas","03/06/12","9.176","apocalypse35"
"2999","1","n00k!e","24/11/15","32.923","apocalypse36"
"21000","1","Lofas","06/12/15","99.221","apocalypse37"
"21001","1","Lofas","24/06/17","100.893","apocalypse38"
"21002","1","KroPP","24/04/13","30.043","apocalypse39"
"21003","1","KroPP","25/06/14","100.215","apocalypse4"
"21004","1","KroPP","25/06/14","79.437","apocalypse40"
"21005","1","KroPP","24/12/14","124.747","apocalypse41"
"21006","1","KroPP","10/04/15","87.059","apocalypse42"
"21007","1","n00k!e","18/06/14","10.001","apocalypse43"
"21008","1","KroPP","29/11/14","44.799","apocalypse44"
"21009","1","n00k!e","20/09/15","10.134","apocalypse45"
"21010","1","KroPP","24/06/14","178.225","apocalypse46"
"21011","1","KroPP","02/01/16","24.617","apocalypse47"
